ID,Density_first_sen_sum,Coverage_first_sen_sum,Density_first_sen_title_sum,Coverage_first_sen_title_sum,Comp,Comp_title
5768,0.3,0.2,0.27027027,0.189189189,0.709090909,0.645454545
5769,2.935483871,0.451612903,2.447368421,0.473684211,0.686567164,0.567164179
5770,5.5,0.5,3.928571429,0.535714286,0.565217391,0.369565217
5771,1,0.263157895,0.678571429,0.178571429,0.67,0.59
5772,1.65625,0.25,1.325,0.25,0.34375,0.203125
5773,0.170731707,0.12195122,0.18,0.12,0.872727273,0.809090909
5774,0.142857143,0.142857143,0.238095238,0.19047619,0.5,0.397058824
5775,6.272727273,0.484848485,5.175,0.425,0.621621622,0.558558559
5776,1.214285714,0.357142857,1.183673469,0.367346939,0.4375,0.35
5777,0.636363636,0.272727273,0.588235294,0.294117647,0.6,-1
5778,0.5,0.5,-1,0.2,0.792,0.72
5779,0.269230769,0.153846154,0.285714286,0.171428571,0.757142857,0.642857143
5780,0.8125,0.5625,0.583333333,0.583333333,0.704545455,0.602272727
5781,0.807692308,0.153846154,0.771428571,0.257142857,0.769230769,0.682692308
5782,5.260869565,0.52173913,3.78125,0.5,0.82010582,0.777777778
5783,0.363636364,0.333333333,0.414634146,0.341463415,0.37037037,0.074074074
5784,0.117647059,0.117647059,-1,0.16,0.6,0.45
5785,0.208333333,0.125,0.424242424,0.212121212,0.230769231,-0.038461538
5786,0.052631579,0.052631579,-1,0.076923077,0.307692308,0.076923077
5787,0.277777778,0.166666667,0.208333333,0.166666667,0.512820513,0.358974359
5788,0.052631579,0.105263158,0.04,0.08,0.75,0.65
5789,0.4,0.2,0.476190476,0.285714286,0.407407407,0.296296296
5790,0.15625,0.09375,0.131578947,0.078947368,0.615384615,0.507692308
5791,0.333333333,0.25,0.290322581,0.225806452,0.676190476,0.59047619
5792,1.647058824,0.382352941,1.441860465,0.441860465,0.613861386,0.534653465
5793,1.692307692,0.307692308,1.425531915,0.319148936,#DIV/0!,#DIV/0!
5794,0,0,0,0,0.722772277,0.633663366
5795,1.035714286,0.428571429,0.783783784,0.378378378,0.516666667,0.4
5796,0.25,0.25,0.257142857,0.2,0.713114754,0.663934426
5797,0.257142857,0.228571429,0.365853659,0.243902439,0.798882682,0.754189944
5798,0.342857143,0.285714286,0.325581395,0.279069767,0.627118644,0.491525424
5799,2.636363636,0.545454545,1.966666667,0.466666667,0.747126437,0.655172414
5800,2.227272727,0.272727273,1.666666667,0.233333333,0.567164179,0.447761194
5801,0.379310345,0.24137931,0.324324324,0.27027027,0.828358209,0.768656716
5802,0.260869565,0.173913043,0.35483871,0.258064516,0.943620178,0.919881306
5803,18.52631579,0.684210526,13.14814815,0.555555556,0.586206897,0.431034483
5804,0.333333333,0.208333333,0.272727273,0.242424242,0.822660099,0.78817734
5805,2.944444444,0.361111111,2.581395349,0.395348837,0.746153846,0.692307692
5806,0.28125,0.3125,0.769230769,0.333333333,0.791666667,0.744047619
5807,1.057142857,0.485714286,0.930232558,0.441860465,0.882845188,0.841004184
5808,0.357142857,0.178571429,0.315789474,0.157894737,#DIV/0!,#DIV/0!
5809,0,0,0,0,#DIV/0!,#DIV/0!
5810,0,0,0,0,0.862275449,0.826347305
5811,0.47826087,0.260869565,0.379310345,0.206896552,0.294117647,0.058823529
5812,0.333333333,0.208333333,0.4375,0.1875,0.897959184,0.862244898
5813,0.25,0.25,0.222222222,0.296296296,0.538461538,0.415384615
5814,0.166666667,0.1,0.578947368,0.210526316,0.830769231,0.761538462
5815,0.181818182,0.045454545,0.161290323,0.064516129,-0.5,-0.944444444
5816,-1,0.074074074,-1,0.057142857,0.842465753,0.794520548
5817,0.391304348,0.260869565,0.533333333,0.3,0.590909091,0.409090909
5818,0.166666667,0.111111111,0.269230769,0.192307692,0.272727273,0.113636364
5819,0.125,0.15625,0.102564103,0.128205128,0.715517241,0.646551724
5820,99.87878788,0.696969697,80.41463415,0.707317073,0.836734694,0.768707483
5821,1.52173913,0.47826087,1.212121212,0.484848485,0.915384615,0.884615385
5822,1.409090909,0.545454545,2.166666667,0.633333333,0.854166667,0.807291667
5823,0.851851852,0.481481481,0.694444444,0.472222222,0.784722222,0.715277778
5824,1.633333333,0.466666667,1.225,0.525,0.893992933,0.862190813
5825,1.366666667,0.533333333,1.307692308,0.564102564,0.561403509,0.49122807
5826,1.204081633,0.265306122,1.035087719,0.245614035,0.792792793,0.720720721
5827,9.782608696,0.565217391,7.387096774,0.548387097,0.714285714,0.6
5828,3.6,0.65,3.035714286,0.642857143,0.75,0.670454545
5829,0.428571429,0.19047619,0.392857143,0.214285714,0.863636364,0.811688312
5830,2.761904762,0.619047619,3,0.689655172,0.80952381,0.723809524
5831,2.75,0.6,1.896551724,0.620689655,0.838028169,0.788732394
5832,2.434782609,0.304347826,1.9,0.366666667,0.682926829,0.585365854
5833,8.269230769,0.538461538,6.352941176,0.470588235,0.662921348,0.584269663
5834,3.724137931,0.344827586,3.055555556,0.388888889,0.622641509,0.490566038
5835,0.85,0.5,0.62962963,0.555555556,0.77173913,0.684782609
5836,0.619047619,0.428571429,0.448275862,0.379310345,0.648648649,0.5
5837,4.615384615,0.538461538,3.324324324,0.540540541,0.6875,0.635416667
5838,3.3,0.466666667,2.857142857,0.457142857,0.712643678,0.609195402
5839,10.4,0.68,7.647058824,0.676470588,0.720588235,0.632352941
5840,10.42105263,0.526315789,7.92,0.52,0.746835443,0.64556962
5841,2.45,0.3,1.857142857,0.214285714,0.674418605,0.546511628
5842,3.428571429,0.357142857,2.538461538,0.384615385,0.737931034,0.675862069
5843,0.815789474,0.368421053,0.659574468,0.361702128,0.680412371,0.618556701
5844,10.83870968,0.419354839,9.081081081,0.486486486,0.801470588,0.735294118
5845,0.703703704,0.259259259,0.555555556,0.333333333,0.776470588,0.682352941
5846,1.222222222,0.388888889,0.846153846,0.384615385,0.785714286,0.73015873
5847,0.666666667,0.481481481,0.558823529,0.5,0.781818182,0.718181818
5848,8.375,0.458333333,6.903225806,0.451612903,0.861313869,0.802919708
5849,4.052631579,0.684210526,3.481481481,0.666666667,0.768518519,0.685185185
5850,2.84,0.48,2.558823529,0.529411765,0.85915493,0.788732394
5851,0.55,0.3,0.433333333,0.4,0.924731183,0.888888889
5852,1.333333333,0.428571429,1.387096774,0.419354839,-0.1,-0.5
5853,-1,0.090909091,-1,0.066666667,0.661971831,0.535211268
5854,2.208333333,0.291666667,1.696969697,0.303030303,0.827338129,0.784172662
5855,3.125,0.625,2.566666667,0.633333333,0.671428571,0.571428571
5856,0.434782609,0.391304348,0.433333333,0.4,0.70754717,0.622641509
5857,0.5,0.3,0.461538462,0.333333333,0.797619048,0.702380952
5858,1.235294118,0.294117647,0.84,0.28,0.133333333,-0.044444444
5859,0.289473684,0.263157895,-1,0.239130435,0.115384615,-0.230769231
5860,0.130434783,0,-1,0.125,0.941176471,0.928864569
5861,1.953488372,0.418604651,3.461538462,0.480769231,0.244897959,0.06122449
5862,2.810810811,0.405405405,2.260869565,0.413043478,0.76,0.68
5863,0.25,0.208333333,0.1875,0.21875,0.325581395,0.093023256
5864,0.620689655,0.103448276,1.230769231,0.230769231,0.74,0.65
5865,0.076923077,0.076923077,0.257142857,0.114285714,0,-9
5866,0,0,-1,0,0.74,0.65
5867,0.076923077,0.076923077,0.257142857,0.114285714,0.490196078,0.31372549
5868,0.269230769,0.192307692,0.228571429,0.171428571,0.708333333,0.569444444
5869,1.142857143,0.333333333,1.322580645,0.419354839,0.733333333,0.626666667
5870,0.3,0.3,0.25,0.285714286,0.733333333,0.626666667
5871,0.3,0.3,0.25,0.285714286,0.576271186,0.440677966
5872,0.32,0.12,0.242424242,0.090909091,0.873417722,0.829113924
5873,0.473684211,0.210526316,0.346153846,0.230769231,0.845679012,0.790123457
5874,0.64,0.48,1.088235294,0.529411765,0.454545455,0.350649351
5875,0.952380952,0.285714286,0.82,0.26,0.712871287,0.643564356
5876,0.392857143,0.321428571,0.771428571,0.371428571,0.760869565,0.695652174
5877,1.545454545,0.424242424,1.285714286,0.476190476,0.454545455,0.350649351
5878,0.952380952,0.285714286,0.82,0.26,0.724137931,0.620689655
5879,0.083333333,0.125,0.333333333,0.212121212,0.724137931,0.620689655
5880,0.083333333,0.125,0.333333333,0.212121212,0.831932773,0.773109244
5881,0.7,0.35,0.555555556,0.37037037,0.784615385,0.723076923
5882,5.851851852,0.62962963,5.028571429,0.6,0.555555556,0.407407407
5883,0.291666667,0.208333333,0.375,0.21875,0.670731707,0.573170732
